sample_name,group_name,input_name,fastq
TDP43_1,TDP43,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR1530360.fastq.gz
TDP43_2,TDP43,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR1530361.fastq.gz
MATR3_1,MATR3,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR2210802.fastq.gz
MATR3_2,MATR3,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR2210803.fastq.gz
MATR3_siPTBP1_1,MATR3_siPTBP,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR2210804.fastq.gz
PTBP1_1,PTBP1,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR2214592.fastq.gz
PTBP1_2,PTBP1,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR2214593.fastq.gz
PTBP1_siMATR3_1,PTBP1_siMATR3,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR2214594.fastq.gz
PTBP1_siMATR3_2,PTBP1_siMATR3,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR2214595.fastq.gz
STAU1_1,STAU1,,s3://ngi-igenomes/test-data/clipseq/fastq/ERR605258.fastq.gz
